n.pgr;Nome Istituto;codice;Centro di costo;codice;Denominazione intervento;Determina;Tipologia di intervento;Manutenzioni;Stato della procedura;RUP;importo stanziato;importo stimato;Anno di riferimento;Data prevista inizio;Data prevista fine;Avviati?;PTLLPP;
060;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_060;PNRR M.4 C.1 I.3.3 - “LAVORI DI MESSA IN SICUREZZA E RIQUALIFICAZIONE DELL’ISTITUTO I.P.I.A. “E. LOI” IN VIA BOLZANO A SANT’ANTIOCO” - CUP     J37H22000530009 – CIG A004BE62F7 INTERVENTO FINANZIATO DALL'UNIONE EUROPEA NEXT GENERATIONEU;Determina n. 384 del 21/05/2023;Manutenzione straordinaria;FALSO;in corso;AE; € 1.619.186,02 ;;;;;;;
061;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_061;Completamento laboratorio di cioccolatteria;Stima;Lavori;FALSO;in programmazione;AE; € 100.000,00 ;;;;;;;
062;"SCU_015 - IPIA ""EMANUELA LOI - VIA BOLZANO 37";SCU_015;;SCU_015_062;EDISU_20SCL01.02_Interventi per l’adeguamento alla normativa antincendio, D.M. 30 giugno 2020, n.43. IPIA “E. Loi”, Via Bolzano n.35, Sant’Antioco;Determina n.199 del 25/05/2021;Manutenzione straordinaria;FALSO;in corso;AE; € 116.500,00 ;;;;;;;
063;"SCU_016 -  IPIA ""EMANUELA LOI - VIA XXIV MAGGIO";SCU_016;;SCU_016_063;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Manutenzione straordinaria;VERO;in corso;DG; € 17.928,80 ;;;;;;;
064;"SCU_016 -  IPIA ""EMANUELA LOI - VIA XXIV MAGGIO";SCU_016;;SCU_016_064;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
065;"SCU_016 -  IPIA ""EMANUELA LOI - VIA XXIV MAGGIO";SCU_016;;SCU_016_065;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
066;"SCU_016 -  IPIA ""EMANUELA LOI - VIA XXIV MAGGIO";SCU_016;;SCU_016_066;;;;FALSO;in corso;;;;;;;;;
067;"SCU_017 - IST. MAGISTRALE ""LUSSU""- VIA SALVO D'ACQUISTO 7";SCU_017;;SCU_017_067;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
068;"SCU_017 - IST. MAGISTRALE ""LUSSU""- VIA SALVO D'ACQUISTO 7";SCU_017;;SCU_017_068;Servizio di Gestione Conduzione e Manutenzione Ordinaria e ripartiva per ripristino funzionale per gli impianti termici e di condizionamento;Determina n.60 del 27/10/2025;Accordo/Servizio;VERO;in corso;GF; € 145.520,04 ;;;;;;;
069;"SCU_017 - IST. MAGISTRALE ""LUSSU""- VIA SALVO D'ACQUISTO 7";SCU_017;;SCU_017_069;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
070;"SCU_017 - IST. MAGISTRALE ""LUSSU""- VIA SALVO D'ACQUISTO 7";SCU_017;;SCU_017_070;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
071;"SCU_018 - LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";SCU_018;;SCU_018_071;Accordo Quadro per la manutenzione degli edifici scolastici e delle sedi amministrative del Sulcis Iglesiente;Determina n.95 del 11/12/2025;manutenzione ordinaria;FALSO;in corso;DG; € 133.825,00 ;;;;;;;
072;"SCU_018 - LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";SCU_018;;SCU_018_072;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
073;"SCU_018 - LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";SCU_018;;SCU_018_073;Servizio di manutenzione per gli impianti elevatori;Determina n.47 del 19/09/2025;Accordo/Servizio;VERO;in corso;GF; € 79.856,00 ;;;;;;;
074;"SCU_018 - LICEO SCIENTIFICO ""LUSSU"" - VIA BOLZANO 50";SCU_018;;SCU_018_074;Servizio di manutenzione estintori;Determina n.52 del 07/10/2025;Accordo/Servizio;VERO;in corso;GF; € 40.000,00 ;;;;;;;
075;SCU_018 - IST. AGRARIO BECCARIA - VIA CAGLIARI 47;SCU_019;;SCU_019_075;ACCORDO QUADRO SERVIZIO FINALIZZATO ALL’ATTUAZIONE DELLE AZIONI PREVENTIVE PER IL CONTROLLO DELLA PROLIFERAZIONE DI MURIDI NEGLI EDIFICI SCOLASTICI DELLA PROVINCIA DEL SULCIS IGLESIENTE E SERVIZI ACCESSORI;Determina n.112 del 31/12/2025;Accordo/Servizio;VERO;in corso;DG; € 17.928,80 ;;;;;;;
